X,Y,id,left,top,right,bottom
85.824301523,27.121290492,"830",85.824301523,27.121290492,85.924301523,27.221290492
85.824301523,27.021290492,"831",85.824301523,27.021290492,85.924301523,27.121290492
85.824301523,26.921290492,"832",85.824301523,26.921290492,85.924301523,27.021290492
85.824301523,26.821290492,"833",85.824301523,26.821290492,85.924301523,26.921290492
85.824301523,26.721290492,"834",85.824301523,26.721290492,85.924301523,26.821290492
85.824301523,26.621290492,"835",85.824301523,26.621290492,85.924301523,26.721290492
85.824301523,26.521290492,"836",85.824301523,26.521290492,85.924301523,26.621290492
85.824301523,26.421290492,"837",85.824301523,26.421290492,85.924301523,26.521290492
85.824301523,26.321290492,"838",85.824301523,26.321290492,85.924301523,26.421290492
85.824301523,26.221290492,"839",85.824301523,26.221290492,85.924301523,26.321290492
85.824301523,26.121290492,"840",85.824301523,26.121290492,85.924301523,26.221290492
85.824301523,26.021290492,"841",85.824301523,26.021290492,85.924301523,26.121290492
85.824301523,25.921290492,"842",85.824301523,25.921290492,85.924301523,26.021290492
85.824301523,25.821290492,"843",85.824301523,25.821290492,85.924301523,25.921290492
85.824301523,25.721290492,"844",85.824301523,25.721290492,85.924301523,25.821290492
85.824301523,25.621290492,"845",85.824301523,25.621290492,85.924301523,25.721290492
85.824301523,25.521290492,"846",85.824301523,25.521290492,85.924301523,25.621290492
85.824301523,25.421290492,"847",85.824301523,25.421290492,85.924301523,25.521290492
85.824301523,25.321290492,"848",85.824301523,25.321290492,85.924301523,25.421290492
85.824301523,25.221290492,"849",85.824301523,25.221290492,85.924301523,25.321290492
85.824301523,25.121290492,"850",85.824301523,25.121290492,85.924301523,25.221290492
85.824301523,25.021290492,"851",85.824301523,25.021290492,85.924301523,25.121290492
85.824301523,24.921290492,"852",85.824301523,24.921290492,85.924301523,25.021290492
85.824301523,24.821290492,"853",85.824301523,24.821290492,85.924301523,24.921290492
85.824301523,24.721290492,"854",85.824301523,24.721290492,85.924301523,24.821290492
85.824301523,24.621290492,"855",85.824301523,24.621290492,85.924301523,24.721290492
85.824301523,24.521290492,"856",85.824301523,24.521290492,85.924301523,24.621290492
85.824301523,24.421290492,"857",85.824301523,24.421290492,85.924301523,24.521290492
85.824301523,24.321290492,"858",85.824301523,24.321290492,85.924301523,24.421290492
85.924301523,27.521290492,"859",85.924301523,27.521290492,86.024301523,27.621290492
85.924301523,27.421290492,"860",85.924301523,27.421290492,86.024301523,27.521290492
85.924301523,27.321290492,"861",85.924301523,27.321290492,86.024301523,27.421290492
85.924301523,27.221290492,"862",85.924301523,27.221290492,86.024301523,27.321290492
85.924301523,27.121290492,"863",85.924301523,27.121290492,86.024301523,27.221290492
85.924301523,27.021290492,"864",85.924301523,27.021290492,86.024301523,27.121290492
85.924301523,26.921290492,"865",85.924301523,26.921290492,86.024301523,27.021290492
85.924301523,26.821290492,"866",85.924301523,26.821290492,86.024301523,26.921290492
85.924301523,26.721290492,"867",85.924301523,26.721290492,86.024301523,26.821290492
85.924301523,26.621290492,"868",85.924301523,26.621290492,86.024301523,26.721290492
85.924301523,26.521290492,"869",85.924301523,26.521290492,86.024301523,26.621290492
85.924301523,26.421290492,"870",85.924301523,26.421290492,86.024301523,26.521290492
85.924301523,26.321290492,"871",85.924301523,26.321290492,86.024301523,26.421290492
85.924301523,26.221290492,"872",85.924301523,26.221290492,86.024301523,26.321290492
85.924301523,26.121290492,"873",85.924301523,26.121290492,86.024301523,26.221290492
85.924301523,26.021290492,"874",85.924301523,26.021290492,86.024301523,26.121290492
85.924301523,25.921290492,"875",85.924301523,25.921290492,86.024301523,26.021290492
85.924301523,25.821290492,"876",85.924301523,25.821290492,86.024301523,25.921290492
85.924301523,25.721290492,"877",85.924301523,25.721290492,86.024301523,25.821290492
85.924301523,25.621290492,"878",85.924301523,25.621290492,86.024301523,25.721290492
85.924301523,25.521290492,"879",85.924301523,25.521290492,86.024301523,25.621290492
85.924301523,25.421290492,"880",85.924301523,25.421290492,86.024301523,25.521290492
85.924301523,25.321290492,"881",85.924301523,25.321290492,86.024301523,25.421290492
85.924301523,25.221290492,"882",85.924301523,25.221290492,86.024301523,25.321290492
85.924301523,25.121290492,"883",85.924301523,25.121290492,86.024301523,25.221290492
85.924301523,25.021290492,"884",85.924301523,25.021290492,86.024301523,25.121290492
85.924301523,24.921290492,"885",85.924301523,24.921290492,86.024301523,25.021290492
85.924301523,24.821290492,"886",85.924301523,24.821290492,86.024301523,24.921290492
85.924301523,24.721290492,"887",85.924301523,24.721290492,86.024301523,24.821290492
85.924301523,24.621290492,"888",85.924301523,24.621290492,86.024301523,24.721290492
85.924301523,24.521290492,"889",85.924301523,24.521290492,86.024301523,24.621290492
85.924301523,24.421290492,"890",85.924301523,24.421290492,86.024301523,24.521290492
85.924301523,24.321290492,"891",85.924301523,24.321290492,86.024301523,24.421290492
86.024301523,27.521290492,"892",86.024301523,27.521290492,86.124301523,27.621290492
86.024301523,27.421290492,"893",86.024301523,27.421290492,86.124301523,27.521290492
86.024301523,27.321290492,"894",86.024301523,27.321290492,86.124301523,27.421290492
86.024301523,27.221290492,"895",86.024301523,27.221290492,86.124301523,27.321290492
86.024301523,27.121290492,"896",86.024301523,27.121290492,86.124301523,27.221290492
86.024301523,27.021290492,"897",86.024301523,27.021290492,86.124301523,27.121290492
86.024301523,26.921290492,"898",86.024301523,26.921290492,86.124301523,27.021290492
86.024301523,26.821290492,"899",86.024301523,26.821290492,86.124301523,26.921290492
86.024301523,26.721290492,"900",86.024301523,26.721290492,86.124301523,26.821290492
86.024301523,26.621290492,"901",86.024301523,26.621290492,86.124301523,26.721290492
86.024301523,26.521290492,"902",86.024301523,26.521290492,86.124301523,26.621290492
86.024301523,26.421290492,"903",86.024301523,26.421290492,86.124301523,26.521290492
86.024301523,26.321290492,"904",86.024301523,26.321290492,86.124301523,26.421290492
86.024301523,26.221290492,"905",86.024301523,26.221290492,86.124301523,26.321290492
86.024301523,26.121290492,"906",86.024301523,26.121290492,86.124301523,26.221290492
86.024301523,26.021290492,"907",86.024301523,26.021290492,86.124301523,26.121290492
86.024301523,25.921290492,"908",86.024301523,25.921290492,86.124301523,26.021290492
86.024301523,25.821290492,"909",86.024301523,25.821290492,86.124301523,25.921290492
86.024301523,25.721290492,"910",86.024301523,25.721290492,86.124301523,25.821290492
86.024301523,25.621290492,"911",86.024301523,25.621290492,86.124301523,25.721290492
86.024301523,25.521290492,"912",86.024301523,25.521290492,86.124301523,25.621290492
86.024301523,25.421290492,"913",86.024301523,25.421290492,86.124301523,25.521290492
86.024301523,25.321290492,"914",86.024301523,25.321290492,86.124301523,25.421290492
86.024301523,25.221290492,"915",86.024301523,25.221290492,86.124301523,25.321290492
86.024301523,25.121290492,"916",86.024301523,25.121290492,86.124301523,25.221290492
86.024301523,25.021290492,"917",86.024301523,25.021290492,86.124301523,25.121290492
86.024301523,24.921290492,"918",86.024301523,24.921290492,86.124301523,25.021290492
86.024301523,24.821290492,"919",86.024301523,24.821290492,86.124301523,24.921290492
86.024301523,24.721290492,"920",86.024301523,24.721290492,86.124301523,24.821290492
86.024301523,24.621290492,"921",86.024301523,24.621290492,86.124301523,24.721290492
86.024301523,24.521290492,"922",86.024301523,24.521290492,86.124301523,24.621290492
86.024301523,24.421290492,"923",86.024301523,24.421290492,86.124301523,24.521290492
86.024301523,24.321290492,"924",86.024301523,24.321290492,86.124301523,24.421290492
86.124301523,27.521290492,"925",86.124301523,27.521290492,86.224301523,27.621290492
86.124301523,27.421290492,"926",86.124301523,27.421290492,86.224301523,27.521290492
86.124301523,27.321290492,"927",86.124301523,27.321290492,86.224301523,27.421290492
86.124301523,27.221290492,"928",86.124301523,27.221290492,86.224301523,27.321290492
86.124301523,27.121290492,"929",86.124301523,27.121290492,86.224301523,27.221290492
86.124301523,27.021290492,"930",86.124301523,27.021290492,86.224301523,27.121290492
86.124301523,26.921290492,"931",86.124301523,26.921290492,86.224301523,27.021290492
86.124301523,26.821290492,"932",86.124301523,26.821290492,86.224301523,26.921290492
86.124301523,26.721290492,"933",86.124301523,26.721290492,86.224301523,26.821290492
86.124301523,26.621290492,"934",86.124301523,26.621290492,86.224301523,26.721290492
86.124301523,26.521290492,"935",86.124301523,26.521290492,86.224301523,26.621290492
86.124301523,26.421290492,"936",86.124301523,26.421290492,86.224301523,26.521290492
86.124301523,26.321290492,"937",86.124301523,26.321290492,86.224301523,26.421290492
86.124301523,26.221290492,"938",86.124301523,26.221290492,86.224301523,26.321290492
86.124301523,26.121290492,"939",86.124301523,26.121290492,86.224301523,26.221290492
86.124301523,26.021290492,"940",86.124301523,26.021290492,86.224301523,26.121290492
86.124301523,25.921290492,"941",86.124301523,25.921290492,86.224301523,26.021290492
86.124301523,25.821290492,"942",86.124301523,25.821290492,86.224301523,25.921290492
86.124301523,25.721290492,"943",86.124301523,25.721290492,86.224301523,25.821290492
86.124301523,25.621290492,"944",86.124301523,25.621290492,86.224301523,25.721290492
86.124301523,25.521290492,"945",86.124301523,25.521290492,86.224301523,25.621290492
86.124301523,25.421290492,"946",86.124301523,25.421290492,86.224301523,25.521290492
86.124301523,25.321290492,"947",86.124301523,25.321290492,86.224301523,25.421290492
86.124301523,25.221290492,"948",86.124301523,25.221290492,86.224301523,25.321290492
86.124301523,25.121290492,"949",86.124301523,25.121290492,86.224301523,25.221290492
86.124301523,25.021290492,"950",86.124301523,25.021290492,86.224301523,25.121290492
86.124301523,24.921290492,"951",86.124301523,24.921290492,86.224301523,25.021290492
86.124301523,24.821290492,"952",86.124301523,24.821290492,86.224301523,24.921290492
86.124301523,24.721290492,"953",86.124301523,24.721290492,86.224301523,24.821290492
86.124301523,24.621290492,"954",86.124301523,24.621290492,86.224301523,24.721290492
86.124301523,24.521290492,"955",86.124301523,24.521290492,86.224301523,24.621290492
86.124301523,24.421290492,"956",86.124301523,24.421290492,86.224301523,24.521290492
86.124301523,24.321290492,"957",86.124301523,24.321290492,86.224301523,24.421290492
86.224301523,27.521290492,"958",86.224301523,27.521290492,86.324301523,27.621290492
86.224301523,27.421290492,"959",86.224301523,27.421290492,86.324301523,27.521290492
86.224301523,27.321290492,"960",86.224301523,27.321290492,86.324301523,27.421290492
